Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2014-12-11T04:11:00.043,6,-0.0015575753111092495,-0.6943705817845253,FoVF,-0.20471615562748968,0.7046794381558645,2457002.6714204135
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2014-12-11T08:24:39.962,5,-0.002889949374179901,-0.7074918176070254,FoVP,-0.1977290249345155,0.705543713877732,2457002.847570257
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2014-12-11T10:11:14.112,7,-0.0034185191967622147,-0.7130075427993667,FoVF,-0.19479441972873326,0.7058869962766253,2457002.9215738457
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2014-12-11T14:24:53.950,6,-0.004602996207622134,-0.7261437441557327,FoVP,-0.18781185000478715,0.7066569418946098,2457003.0977228065
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2014-12-11T20:25:07.833,7,-0.006108406579840585,-0.7448147302885348,FoVP,-0.17790402409596046,0.7076362815260149,2457003.347874233
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2014-12-15T08:28:18.421,7,-0.0069663720315958615,-1.0069620257699694,FoVP,-0.04198737284401648,0.7076350067161569,2457006.8499584016
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2014-12-15T14:28:32.242,7,-0.005695886671173769,-1.0256657557807152,FoVP,-0.03259629817349299,0.706698827387523,2457007.100110256
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2014-12-15T20:28:46.150,6,-0.004262516035634009,-1.044358566183645,FoVP,-0.02326102512523026,0.7056456340001688,2457007.350263198
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2014-12-15T22:15:20.283,7,-0.0038076476802830364,-1.0498862547968373,FoVF,-0.020510336959986386,0.7053118914550048,2457007.4242670024
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2014-12-16T02:29:00.156,5,-0.0026689246476119294,-1.063039279128432,FoVP,-0.013983582558459957,0.704477179828176,2457007.600417346
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2014-12-16T04:15:34.319,6,-0.002167164330287664,-1.0685631745064168,FoVF,-0.011250372118716906,0.7041096825791164,2457007.6744215307
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2014-12-16T08:29:14.269,4,-9.177491256974637E-4,-1.081706794001851,FoVP,-0.004765867118892206,0.7031952664184662,2457007.850572819
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2014-12-16T10:15:48.466,5,-3.698712393174464E-4,-1.087226585171179,FoVF,-0.002050669928567218,0.7027945559342027,2457007.924577417
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2014-12-16T14:29:28.500,3,9.88403567009788E-4,-1.1003600861884344,FoVP,0.004390358309451268,0.70180173849409,2457008.1007297295
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2014-12-16T16:16:02.734,4,0.0015816337302992432,-1.1058754844091254,FoVF,0.007087046640307386,0.701368367983844,2457008.1747347745
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2014-12-16T20:29:42.858,2,0.0030469578141746807,-1.1189982057514698,FoVP,0.013483466244783842,0.7002984786102621,2457008.350888191
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2014-12-17T04:16:31.668,1,0.005937048638618177,-1.1431261090320526,FoVF,0.025170310321090746,0.6981904105978325,2457008.675054348
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2015-02-19T08:28:54.831,2,0.0027564670160846218,-2.123728412611657,FoVP,-0.41383212850371875,0.7025799947036123,2457072.851111064
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2015-02-19T10:15:29.059,5,-3.66431024385134E-4,-2.128253793637689,FoVF,-0.41175964056435727,0.7043543340724834,2457072.925122191
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2015-03-14T10:18:14.524,7,-0.004722712134819668,2.571422859983856,FoVF,0.6291098190384802,0.7077839722375944,2457095.928469588
